AreaNorm,PerimNorm,RazonEjes,Excentricidad,Solidez,Extension,CantDedos
124,-117,105,-92,111,98,0
116,-107,72,-52,99,102,0
120,-111,45,-28,110,93,0
97,-56,44,-27,96,71,0
118,-115,70,-51,100,71,0
107,-71,68,-48,105,70,0
117,-114,51,-33,107,85,0
119,-114,111,-100,100,64,0
118,-105,47,-29,101,74,0
87,-47,43,-26,78,63,0
124,-119,48,-30,124,89,0
120,-123,92,-75,121,118,0
93,-56,53,-35,88,65,0
109,-54,50,-31,94,49,0
100,-55,119,-112,84,39,0
101,-62,52,-33,94,64,0
100,-61,51,-33,91,59,0
121,-119,54,-36,117,93,0
120,-113,47,-29,111,83,0
107,-70,40,-23,101,84,0
106,-71,65,-45,104,77,0
125,-121,65,-46,124,92,0
97,-53,51,-33,91,54,0
123,-116,33,-18,112,81,0
119,-113,78,-59,110,71,0
109,-110,18,-7,105,80,0
106,-111,17,-6,112,82,0
121,-115,57,-38,113,76,0
114,-119,69,-49,116,115,0
103,-65,61,-42,99,63,0
121,-116,42,-25,115,91,0
117,-110,58,-39,105,70,0
123,-118,50,-32,117,99,0
121,-110,118,-111,102,78,0
124,-121,59,-40,125,89,0
105,-65,97,-81,98,71,0
119,-121,83,-64,114,99,0
86,-85,64,-45,89,82,0
123,-118,62,-43,117,93,0
121,-112,45,-28,110,98,0
105,-69,77,-58,96,80,0
120,-114,116,-109,105,64,0
87,-51,64,-45,90,67,0
120,-111,43,-26,106,78,0
111,-113,28,-14,112,88,0
112,-116,27,-14,115,91,0
119,-113,34,-19,109,77,0
95,-59,64,-45,91,53,0
118,-112,53,-35,109,70,0
124,-118,55,-36,117,98,0
111,-72,42,-25,105,82,0
115,-108,39,-22,104,85,0
95,-65,49,-31,95,58,0
120,-113,49,-31,108,74,0
97,-70,59,-40,101,76,0
94,-54,49,-31,87,57,0
106,-70,43,-26,100,81,0
120,-122,75,-55,111,103,0
87,-68,40,-24,103,81,0
96,-62,51,-33,92,69,0
99,-62,78,-59,90,62,0
99,-65,68,-49,92,59,0
125,-116,66,-47,118,93,0
125,-118,48,-30,112,86,0
109,-65,125,-123,90,55,0
108,-73,80,-61,111,99,0
105,-67,56,-37,92,77,0
110,-69,46,-28,102,84,0
107,-70,63,-43,104,75,0
125,-80,94,-78,114,127,0
104,-111,21,-9,106,65,0
87,-52,57,-38,86,62,0
119,-110,37,-21,110,87,0
119,-112,82,-63,107,69,0
104,-65,64,-45,94,71,0
122,-116,76,-57,110,89,0
101,-63,66,-46,94,69,0
95,-56,82,-64,91,59,0
93,-53,40,-24,85,56,0
108,-72,64,-45,103,74,0
125,-114,36,-20,117,102,0
108,-63,46,-29,97,73,0
105,-67,56,-37,103,63,0
96,-59,47,-29,89,65,0
105,-113,49,-31,107,84,0
120,-117,60,-41,112,82,0
69,-77,62,-43,80,71,0
81,-47,70,-51,82,41,0
111,-118,68,-48,112,73,0
72,-81,69,-50,77,67,0
120,-119,90,-73,105,96,0
124,-118,38,-22,124,80,0
108,-107,79,-60,100,59,0
74,-28,78,-59,76,48,0
112,-111,41,-24,106,81,0
104,-66,52,-34,95,62,0
121,-113,40,-24,114,89,0
109,-64,118,-111,89,64,0
121,-112,46,-28,109,97,0
118,-112,54,-35,108,80,0
108,-69,56,-37,96,66,0
107,-71,68,-48,105,71,0
104,-114,83,-64,107,62,0
126,-127,78,-59,124,110,0
118,-112,59,-40,108,76,0
120,-110,40,-23,113,94,0
123,-118,45,-27,115,106,0
123,-119,67,-47,114,82,0
123,-120,61,-42,117,92,0
106,-65,92,-75,98,70,0
112,-73,48,-30,110,83,0
123,-120,65,-46,116,89,0
95,-59,64,-45,91,54,0
