source_split,source_label,source_row,AreaNorm,PerimNorm,RazonEjes,Excentricidad,Solidez,Extension,CantDedos
train,0,0,0.7720970476775266,3.4550835940721663,0.6793450470335178,0.7338189879466377,0.9325,0.6907407407407408,0
train,1,3000,0.6897211507982481,4.057506971610329,0.544207911762701,0.8389503851688014,0.812933025404157,0.6089965397923875,1
train,2,6000,0.674264125746321,4.779816583582896,0.466473738310872,0.8845350481842311,0.7779605263157895,0.6569444444444444,2
train,3,8999,0.577061460422083,5.503162464858271,0.5464257814508384,0.8375075315278309,0.663003663003663,0.4677002583979328,3
train,4,11999,0.6413527222806749,4.932622769699434,0.557047026920745,0.8304809508945757,0.7048092868988391,0.4857142857142857,4
train,5,14999,0.5599552945403993,5.950447517347752,0.6947486650354613,0.7192525929264659,0.5761353517364203,0.3586474501108647,5
test,0,0,0.750599360049547,4.0576076856947365,0.900248799854803,0.4353758127870528,0.8875379939209727,0.6045548654244306,0
test,0,1,0.7398529747723311,4.1721602337683255,0.8046255280369764,0.5937825861636706,0.8944723618090452,0.6472727272727272,0
test,0,2,0.7514417081784944,3.989870961516504,0.7231735466359682,0.6906663604418236,0.9138755980861244,0.673721340388007,0
test,0,3,0.7674916231041763,3.370561252916097,0.736110216655423,0.6768616911419246,0.9319526627218936,0.7208237986270023,0
test,0,4,0.7641690469128244,3.458559529371325,0.7385349530317544,0.6742151905366597,0.9202453987730062,0.6864988558352403,0
test,0,5,0.7437967408391316,4.481275339126734,0.7693251665695099,0.6388574082553915,0.9005102040816326,0.6788461538461539,0
test,0,6,0.770165274783368,3.388208241348789,0.7398948427320161,0.6727225443662231,0.9328165374677002,0.6942307692307692,0
test,0,7,0.7252600314327268,4.008500636449788,0.6975072712410225,0.7165777044856355,0.921832884097035,0.6923076923076923,0
test,0,8,0.7397998647081119,4.112538595657383,0.8040852519081199,0.5945140096447311,0.8897243107769424,0.6454545454545455,0
test,0,9,0.7548778093215823,3.4150187520399315,0.7124330408741296,0.7017400959549346,0.9326145552560648,0.692,0
test,0,10,0.771253571481072,3.4607651262385053,0.835704492725075,0.5491793885781996,0.916030534351145,0.6818181818181818,0
test,0,11,0.7393796349552749,4.186835442734842,0.7070133891130534,0.7072001609267874,0.8908629441624365,0.675,0
test,0,12,0.7606316114186614,3.90806855193792,0.7733901999727111,0.6339302789630497,0.9260204081632653,0.698076923076923,0
test,0,13,0.7447994610312257,3.7950049270068313,0.8075243283859509,0.5898342640647616,0.903114186851211,0.725,0
test,0,14,0.7633004632034628,3.438037169016402,0.6601555693144704,0.751128899925364,0.9273255813953488,0.7088888888888889,0
test,0,15,0.7375360080614968,4.124699294473278,0.7124239336112548,0.7017493418720578,0.8765133171912833,0.6384479717813051,0
test,0,16,0.7701660663188256,3.4375658866777727,0.7334449841323345,0.6797488177636792,0.923469387755102,0.6961538461538461,0
test,0,17,0.7515156082486646,4.031841474343218,0.702512885752472,0.711671023262669,0.9017199017199016,0.7057692307692308,0
test,0,18,0.772580328606489,3.4075088086308507,0.7205271358792967,0.6934267419573442,0.9333333333333332,0.708502024291498,0
test,0,19,0.7594632229217713,3.4153170714913603,0.7015583210870224,0.7126120417966274,0.9147058823529411,0.6820175438596491,0
test,1,600,0.672853713811354,4.164718981307906,0.4820051443900533,0.8761683860888407,0.8116883116883117,0.5804953560371517,1
test,1,601,0.6617129451078749,4.16196746958708,0.4595476314914062,0.8881531255310869,0.7746478873239436,0.506578947368421,1
test,1,602,0.6304322364935975,4.756616216604136,0.518960606587246,0.8547981567660273,0.7408695652173913,0.4829931972789115,1
test,1,603,0.6407269265171663,4.103432110628288,0.4357095006287902,0.9000873463513474,0.8147448015122873,0.513095238095238,1
test,1,604,0.615894364252426,4.583695119702565,0.4730760642292926,0.8810215873934771,0.7495462794918331,0.4682539682539682,1
test,1,605,0.6530603741429148,4.098636811863149,0.4446635307676138,0.8956976858322675,0.7909604519774012,0.5263157894736842,1
test,1,606,0.6710076892111275,4.164755341435824,0.4493108806404826,0.8933754711979023,0.804642166344294,0.5340179717586649,1
test,1,607,0.6794420978843043,4.061837243040711,0.4642007605103805,0.885730011878103,0.8498098859315589,0.5738125802310655,1
test,1,608,0.6791682425218758,4.103033444159865,0.4899932288576715,0.8717262389498401,0.8319502074688797,0.5862573099415205,1
test,1,609,0.6265071791981495,4.245893395368033,0.4414296245901863,0.8972958745777042,0.7677543186180422,0.5291005291005291,1
test,1,610,0.5974224695283217,4.7064245569258665,0.4482762494274843,0.8938950744909762,0.6482142857142857,0.3928571428571428,1
test,1,611,0.6407700193221586,4.632986106805418,0.4330230740240942,0.901382836181566,0.7827715355805244,0.5238095238095238,1
test,1,612,0.6745479208058637,4.143518240002191,0.4639307401974213,0.8858714739169969,0.8210735586481114,0.5736111111111111,1
test,1,613,0.6656516482910427,4.124365165519066,0.4439759978481493,0.8960386784814259,0.8056112224448898,0.5289473684210526,1
test,1,614,0.678760073762762,4.055944904816978,0.4752525896524976,0.8798494053124061,0.8019607843137255,0.5381578947368421,1
test,1,615,0.5736838425871389,4.635697338741572,0.4240280193740136,0.9056490704382968,0.6468330134357005,0.4011904761904762,1
test,1,616,0.6804091716135932,4.111581504057396,0.4269950799280772,0.9042539475817702,0.8344086021505376,0.5527065527065527,1
test,1,617,0.666388997852797,4.255778367463171,0.4661746902591264,0.8846926913690468,0.7992047713717694,0.5583333333333333,1
test,1,618,0.6762889071283278,4.047710117314615,0.501608802301722,0.8650945667691088,0.7937384898710865,0.525609756097561,1
