66,35,127,127,-59,127,-127,22
2,59,-5,46,40,90,-29,32
-25,-116,-53,69,26,83,-97,-93
3,-30,-13,-86,29,-59,41,12
-127,5,-106,-65,127,-80,6,127
22,-127,62,110,51,2,30,-53
