-89,-126,89,4,-46,96
5,84,41,-107,-125,42
102,11,76,-16,-102,-5
127,-54,-38,5,-26,84
4,-51,51,23,28,-127
33,-66,-108,127,45,26
-39,-50,53,125,-127,-26
-17,127,-127,18,39,-65
